Symbol;Interval;S.Pos;LOT(s);Open Time;Open Price;Close Time;Close Price;PIP P/L;Tot. $ P/L;Harvester ID;OpenDeals#;Closed by
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.05 15:45;132.4500;2013.11.07 20:30;131.5800;87;887.4000;64(64);7;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.05 16:50;132.5000;2013.11.07 20:30;131.5800;92;938.4000;63(125);6;Close all Deals(2) - Global
EURJPY;21;Long;21;2013.11.06 05:36;133.4500;2013.11.07 20:30;131.5800;-187;-4005.5400;64(64) TR;7;Close all Deals(2) - Global
EURJPY;21;Long;21;2013.11.06 16:52;133.5000;2013.11.07 20:30;131.5800;-192;-4112.6400;63(125) TR;6;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.11.06 19:35;133.5000;2013.11.07 20:30;131.5800;-192;-1958.4000;58(168);1;Close all Deals(2) - Global
EURJPY;21;Short;21;2013.11.07 14:45;132.5000;2013.11.07 20:30;131.5800;92;1970.6400;58(168) TR;1;Close all Deals(2) - Global
EURJPY;34;Short;34;2013.11.07 14:45;132.5000;2013.11.07 20:30;131.5800;92;3190.5600;63(125) TR;6;Close all Deals(2) - Global
EURJPY;34;Short;34;2013.11.07 14:45;132.4500;2013.11.07 20:30;131.5800;87;3017.1600;64(64) TR;7;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.07 16:00;132.5000;2013.11.07 20:30;131.5800;92;938.4000;67(9);10;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.06 02:00;132.6600;2013.11.07 20:28;131.7100;95;967.1000;66(19);9;All related deals after TR
EURJPY;21;Long;21;2013.11.06 16:56;133.6600;2013.11.07 20:28;131.7100;-195;-4168.7100;66(19) TR;9;All related deals after TR
EURJPY;34;Short;34;2013.11.07 14:45;132.6600;2013.11.07 20:28;131.7100;95;3288.1400;66(19) TR;9;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.11.06 07:50;133.3000;2013.11.06 17:55;133.4900;19;192.4700;58(167);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.05 12:45;132.5900;2013.11.05 16:40;132.5600;3;30.4800;63(124);6;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.01 13:30;132.8700;2013.11.05 09:54;132.7200;15;152.4000;64(63);7;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.01 14:00;132.9300;2013.11.05 09:54;132.7200;21;213.3600;65(29);8;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.04 06:00;133.1000;2013.11.05 09:54;132.7200;38;386.0800;66(18);9;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.05 06:40;132.9100;2013.11.05 09:54;132.7200;19;193.0400;63(123);6;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.01 14:15;132.8900;2013.11.05 05:20;132.8300;6;61.0200;63(122);6;Close All Deals command
